2024-2025 EĞİTİM ÖĞRETİM YILI ORTAOKUL FEN BİLİMLERİ DERSİ 6.SINIF ÇERÇEVE YILLIK PLANI;;;;;;;;;;
AY;HAFTA;"DERS
SAATİ";ÖĞRENME ALANI/ÜNİTE/TEMA;KONU;KAZANIM;KAZANIM AÇIKLAMASI;YÖNTEM VE TEKNİKLER;ÖLÇME VE DEĞERLENDİRME;BELİRLİ GÜN VE HAFTALAR;OKUL DIŞI ÖĞRENME
EYLÜL;"1. Hafta:
 9-13 Eylül";"4
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";6.1.1. Güneş Sistemi;F.6.1.1.1. Güneş sistemindeki gezegenleri birbirleri ile karşılaştırır.;"F.6.1.1.1. 
a. Gezegenlerin temel özelliklerine (karasal, gazsal, iç gezegen, dış gezegen) değinilir.
b. Gezegenlerin uyduları olduğundan bahsedilir.
c. Gezegenlerin büyüklüklerine uzamsal olarak değinilir.
ç. Gezegenlerin Güneş’e olan uzaklık sıralamasına değinilir.
d. Meteor, gök taşı, asteroit kavramlarına değinilir.";Yöntem ve teknikler seçilirken kazanım, öğrenci özellikleri (hazırbulunuşluk düzeyleri, öğrenme stilleri, ilgi alanları vb.), öğretmenin ve konunun özellikleri, materyaller, maliyet, zaman, sınıf mevcudu ve okul türü farklılığı dikkate alınması gerekir. Öğretim sürecinde yer alan okul dışı öğrenme etkinlikleri, ders yılı başı okul zümre öğretmenleri toplantısında belirlenecektir. Seçilen yöntem ve tekniklere uygun olarak ölçme ve değerlendirme faaliyetlerinin de yapılandırılması eşgüdümlü bir şekilde yapılmalıdır. Öğrenme süreçlerinde değerlendirme faaliyetleri mümkün olduğu kadar süreci değerlendirecek biçimde tasarlanmalıdır.;"





















Ölçme ve değerlendirme yöntemleri kazanımın düzeyi, konu içeriği dikkate alınarak planlanmalıdır. Kazanıma ve konunun içeriğine uygun olarak belirlenen bu ölçme ve değerlendirme yöntemlerinden klasik ve tamamlayıcı (alternatif) ölçme ve değerlendirme yöntemleri birlikte kullanılarak öğrencinin bütüncül olarak değerlendirilmesi sağlanmalıdır. Ölçme ve değerlendirme çalışmalarında sadece sonuca odaklı değerlendirme yapılmamalı süreç değerlendirmeye yönelik ölçme etkinlikleri de planlanmalıdır, süreçte planlanan değerlendirmeler öğretimde ve öğrenmelerde bir eksiklik olup olmadığının tespit edilmesi ve giderilmesinde önemlidir. Kaynaştırma/Bütünleştirme yoluyla eğitim ve öğretimlerine devam eden öğrencilere yönelik ölçme değerlendirmede Bireyselleştirilmiş Eğitim Programı (BEP) esas alınır.";;"

Okul dışı öğrenme etkinlikleri, ders yılı başı okul zümre öğretmenleri toplantısında belirlenecektir.
Ortak sınavların yapılacağı tarihlerde sınav saati dışındaki derslerde yapılacak tekrar ve kazanım pekiştirme etkinlikleri ders yılı başı zümre öğretmenler kurulu toplantısında kararlaştırılacaktır."
;"2. Hafta:
 16-20 Eylül";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";"6.1.1. Güneş Sistemi

6.1.2. Güneş ve Ay Tutulmaları";"F.6.1.1.2. Güneş sistemindeki gezegenleri, Güneş’e yakınlıklarına göre sıralayarak bir model oluşturur.

F.6.1.2.1.Güneş tutulmasının nasıl oluştuğunu tahmin eder.";"F.6.1.2.1.
a. Güneş tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay Güneş tutulmasının olmadığına değinilir.";;;15 Temmuz Demokrasi ve Millî Birlik Günü;
;"3. Hafta:
 23-27 Eylül";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";6.1.2. Güneş ve Ay Tutulmaları;"F.6.1.2.1.Güneş tutulmasının nasıl oluştuğunu tahmin eder.

F.6.1.2.2. Ay tutulmasının nasıl oluştuğunu tahmin eder.
";"F.6.1.2.1.
a. Güneş tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay Güneş tutulmasının olmadığına değinilir.

F.6.1.2.2.
a. Ay tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay, Ay tutulmasının olmadığına değinilir.";;;;
EKİM;"4. Hafta:
 30 Eylül-4 Ekim";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR

2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.1.2. Güneş ve Ay Tutulmaları

6.2.1. Destek ve Hareket Sistemi";"F.6.1.2.3. Güneş ve Ay tutulmasını temsil eden bir model oluşturur.

F.6.2.1.1. Destek ve hareket sistemine ait yapıları örneklerle açıklar.";"F.6.2.1.1.
a. Kemiklerin yapısına girilmeksizin kemik çeşitleri kısa, uzun ve yassı olarak verilir.
b. Eklem çeşitleri ayrıntılara girilmeksizin verilir.
c. Kas çeşitlerinin çalışma prensipleri (istemli - istemsiz) ve yorulma durumları çerçevesinde verilerek ayrıntılı yapısına girilmez.";;;;
;;;;;;;;;;
;"5. Hafta:
 7-11 Ekim";"2+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.1. Destek ve Hareket Sistemi

6.2.2. Sindirim Sistemi";"F.6.2.1.1. Destek ve hareket sistemine ait yapıları örneklerle açıklar.

F.6.2.2.1. Sindirim sistemini oluşturan yapı ve organların görevlerini modeller kullanarak açıklar.";"F.6.2.1.1.
a. Kemiklerin yapısına girilmeksizin kemik çeşitleri kısa, uzun ve yassı olarak verilir.
b. Eklem çeşitleri ayrıntılara girilmeksizin verilir.
c. Kas çeşitlerinin çalışma prensipleri (istemli - istemsiz) ve yorulma durumları çerçevesinde verilerek ayrıntılı yapısına girilmez.
";;;;
;;;;;;;;;;
;"6. Hafta:
 14-18 Ekim";"2+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.2. Sindirim Sistemi
";"F.6.2.2.2. Besinlerin kana geçebilmesi için fiziksel (mekanik) ve kimyasal sindirime uğraması gerektiği çıkarımını yapar.

F.6.2.2.3. Sindirime yardımcı organların görevlerini açıklar.";"F.6.2.2.2. 
a. Kimyasal sindirim denklemlerine girilmeden sadece kimyasal (mekanik) ve fiziksel sindirimin  tanımları verilir.
b. Kimyasal sindirimde enzimlerin görev aldığı belirtilir ancak yapıları, çalışma mekanizmaları ve  isimlerine değinilmez.

F.6.2.2.3.
Karaciğer ve pankreasın yapısına girilmeksizin sindirimdeki görevleri açıklanır ve salgıların ince bağırsağa döküldüğü belirtilir.";;;;
;"7. Hafta:
 21-25 Ekim";"2+1+1
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"
6.2.3. Dolaşım Sistemi";"F.6.2.3.1. Dolaşım sistemini oluşturan yapı ve organların görevlerini model kullanarak açıklar.

F.6.2.3.2. Büyük ve küçük kan dolaşımını şema üzerinde inceleyerek bunların görevlerini açıklar.

F.6.2.3.3. Kanın yapısını ve görevlerini tanımlar.
";"F.6.2.3.1.
a. Kalbin dört odacığı, kalbi oluşturan yapılar ve isimleri verilmeden belirtilir.
b. Kalbi oluşturan yapıların ve kapakçıkların isimlerine yer verilmez.
c. Kalbin çalışma mekanizmasına değinilmez. 
ç. Nabız ve tansiyona değinilir.
d. Lenf dolaşımına değinilmez.

F.6.2.3.2.
Atardamar, toplardamar ve kılcal damarların ayrıntılı yapısına girilmeden görevleri belirtilir.

F.6.2.3.3.
a. Kan hücrelerinin yapısı verilmeden sadece görevleri açıklanır.
b. Alyuvarlarda hemoglobin ile gaz alışverişine değinilmez.";;;;
;"8. Hafta:
 28 Ekim-1 Kasım";SINAV HAFTASI;;;;;;;29 Ekim Cumhuriyet Bayramı;
;;"1+1+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.3. Dolaşım Sistemi

6.2.4. Solunum Sistemi";"F.6.2.3.4. Kan grupları arasındaki kan alışverişini ifade eder.

F.6.2.3.5. Kan bağışının toplum açısından önemini değerlendirir.

F.6.2.4.1. Solunum sistemini oluşturan yapı ve organların görevlerini modeller kullanarak açıklar.";"F.6.2.3.4.
a. Kan gruplarında moleküler temellere girilmez.
b. Kan alışverişinin, uygulamalarda aynı gruplar arasında yapılması esas alındığından “genel alıcı” ve  “genel verici” ifadeleri kullanılmaz.
c. Rh faktörüne kısaca değinilir ancak kan uyuşmazlığına girilmez.

F.6.2.3.5.
a. Kızılay‘a vurgu yapılır.
b. Kan bağışı sırasında dikkat edilmesi gereken hijyene vurgu yapılır. 

F.6.2.4.1.
Gaz alışveriş mekanizması ve solunum gazlarının kandaki taşınımı anlatılmaz.";;;;
;;;;;;;;;;
